Pattern ID,Pattern,MB Pattern Type,S,R1,a,C2,b,R1,c,C3,d,P,e,E1,C1
33,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_30089
34,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17968
35,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000198
36,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_41941
37,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_48400
38,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_18101
39,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_32980
40,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,FAKEURI_0000199
41,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_16204
42,3,s r1 o r2 c2 (property chain),NCBITaxon_186803,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_43355
43,3,s r1 o r2 c2 (property chain),NCBITaxon_186803,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_82914
44,3,s r1 o r2 c2 (property chain),NCBITaxon_186803,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17884
45,3,s r1 o r2 c2 (property chain),NCBITaxon_371143,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_28197
46,3,s r1 o r2 c2 (property chain),NCBITaxon_371143,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_75842
47,3,s r1 o r2 c2 (property chain),NCBITaxon_371143,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_42202
48,3,s r1 o r2 c2 (property chain),NCBITaxon_647703,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_28197
49,3,s r1 o r2 c2 (property chain),NCBITaxon_647703,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_34741
50,3,s r1 o r2 c2 (property chain),NCBITaxon_679895,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_4167
51,3,s r1 o r2 c2 (property chain),NCBITaxon_679895,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_62064
52,3,s r1 o r2 c2 (property chain),NCBITaxon_679895,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_15361
53,3,s r1 o r2 c2 (property chain),NCBITaxon_679895,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000200
54,3,s r1 o r2 c2 (property chain),NCBITaxon_679895,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_15688
55,3,s r1 o r2 c2 (property chain),NCBITaxon_679895,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_16583
56,3,s r1 o r2 c2 (property chain),FAKEURI_0000004,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_4167
57,3,s r1 o r2 c2 (property chain),FAKEURI_0000004,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_62064
58,3,s r1 o r2 c2 (property chain),FAKEURI_0000004,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_15361
59,3,s r1 o r2 c2 (property chain),FAKEURI_0000004,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000200
60,3,s r1 o r2 c2 (property chain),FAKEURI_0000004,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_15688
61,3,s r1 o r2 c2 (property chain),FAKEURI_0000004,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_16583
62,3,s r1 o r2 c2 (property chain),NCBITaxon_570,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_15354
63,3,s r1 o r2 c2 (property chain),NCBITaxon_570,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_18139
64,3,s r1 o r2 c2 (property chain),NCBITaxon_570,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_17126
65,3,s r1 o r2 c2 (property chain),NCBITaxon_570,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_15724
66,3,s r1 o r2 c2 (property chain),NCBITaxon_561,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_15354
67,3,s r1 o r2 c2 (property chain),NCBITaxon_561,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_18139
68,3,s r1 o r2 c2 (property chain),NCBITaxon_561,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_17126
69,3,s r1 o r2 c2 (property chain),NCBITaxon_561,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_15724
70,3,s r1 o r2 c2 (property chain),FAKEURI_0000005,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,FAKEURI_0000201
71,3,s r1 o r2 c2 (property chain),FAKEURI_0000005,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000202
72,3,s r1 o r2 c2 (property chain),FAKEURI_0000006,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,FAKEURI_0000203
73,3,s r1 o r2 c2 (property chain),FAKEURI_0000006,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000201
74,3,s r1 o r2 c2 (property chain),FAKEURI_0000006,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,FAKEURI_0000201
75,3,s r1 o r2 c2 (property chain),FAKEURI_0000006,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000202
76,3,s r1 o r2 c2 (property chain),NCBITaxon_502558,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_28197
77,3,s r1 o r2 c2 (property chain),NCBITaxon_502558,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_34741
78,3,s r1 o r2 c2 (property chain),NCBITaxon_502558,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_75842
79,3,s r1 o r2 c2 (property chain),NCBITaxon_1239,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17968
80,3,s r1 o r2 c2 (property chain),NCBITaxon_203490,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17968
81,3,s r1 o r2 c2 (property chain),FAKEURI_0000007,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_28197
82,3,s r1 o r2 c2 (property chain),FAKEURI_0000007,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_75842
83,3,s r1 o r2 c2 (property chain),FAKEURI_0000007,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_88902
84,3,s r1 o r2 c2 (property chain),FAKEURI_0000008,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_28197
85,3,s r1 o r2 c2 (property chain),FAKEURI_0000008,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_75842
86,3,s r1 o r2 c2 (property chain),FAKEURI_0000008,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_88902
87,3,s r1 o r2 c2 (property chain),FAKEURI_0000009,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_28197
88,3,s r1 o r2 c2 (property chain),FAKEURI_0000009,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_75842
89,3,s r1 o r2 c2 (property chain),FAKEURI_0000009,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_88902
90,3,s r1 o r2 c2 (property chain),FAKEURI_0000010,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17968
